Supplementary Table 4. List of genes with pathogenic variant frequencies in single-cancer types compared to controls																			
																			
Gene Symbol	Ensenbl ID	Gene set	Inheritance	Histology	Case-control (PTVs)					Case-control (ClinVar pathogenic variants)					Case-control (PTVs + ClinVar pathogenic variants)				
MACC1	ENSG00000183742	SOD	Not OMIM	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
MAN2B1	ENSG00000104774	OMIM	AR	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	0.95	0.04	2.88	0.029	0.057	0.95	0.08	2.29	0.053	0.101
MC1R	ENSG00000258839	OMIM	AR	Prost-AdenoCA	0.95	0.28	0.87	0.377	0.512	-	-	-	-	-	0.95	0.28	0.87	0.377	0.524
MC4R	ENSG00000166603	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
MEF2A	ENSG00000068305	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.48	0.16	0.96	0.429	0.536	0.48	0.16	0.96	0.429	0.524
MFRP	ENSG00000235718	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
MLH3	ENSG00000119684	OMIM	AD	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
MMACHC	ENSG00000132763	OMIM	AR	Prost-AdenoCA	0.95	0.20	1.29	0.210	0.317	0.48	0.08	1.70	0.199	0.306	1.43	0.28	1.29	0.147	0.229
MPDZ	ENSG00000107186	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
MPL	ENSG00000117400	CPG	Not OMIM	Prost-AdenoCA	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057	1.43	0.04	3.30	0.008	0.017
MPO	ENSG00000005381	OMIM	ADAR	Prost-AdenoCA	0.48	0.20	0.69	0.557	0.604	0.48	0.28	0.28	0.809	0.844	0.95	0.32	0.70	0.471	0.525
MTNR1B	ENSG00000134640	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
MUT	ENSG00000146085	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.00	0.16	-0.05	0.976	0.976
MUTYH	ENSG00000132781	CPG	Not OMIM	Prost-AdenoCA	-	-	-	-	-	3.33	0.56	1.41	0.029	0.056	3.33	0.56	1.41	0.029	0.056
MYH6	ENSG00000197616	OMIM	AD	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
MYH8	ENSG00000133020	OMIM	AD	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
MYO15A	ENSG00000091536	OMIM	AR	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	0.00	0.12	0.28	0.865	0.875	0.95	0.12	1.88	0.090	0.150
MYO7A	ENSG00000137474	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
MYOC	ENSG00000034971	OMIM	AD	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	0.48	0.12	1.28	0.307	0.465	0.48	0.16	0.96	0.429	0.524
NEB	ENSG00000183091	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
NIPAL4	ENSG00000172548	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
NPFFR2	ENSG00000056291	SOD	Not OMIM	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
NUP93	ENSG00000102900	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
ORC6	ENSG00000091651	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
PAH	ENSG00000171759	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	3.81	0.32	2.33	0.001	0.001	3.81	0.32	2.33	0.001	0.001
PARS2	ENSG00000162396	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.20	0.69	0.557	0.631	0.48	0.20	0.69	0.557	0.618
PCK2	ENSG00000100889	OMIM	AR	Prost-AdenoCA	0.48	0.32	0.10	0.926	0.935	-	-	-	-	-	0.48	0.32	0.10	0.926	0.936
PCNT	ENSG00000160299	OMIM	AR	Prost-AdenoCA	0.00	0.20	-0.31	0.841	0.861	0.00	0.16	-0.05	0.976	0.976	0.00	0.20	-0.31	0.841	0.867
PDCD2L	ENSG00000126249	SOD	Not OMIM	Prost-AdenoCA	0.48	0.24	0.47	0.686	0.708	-	-	-	-	-	0.48	0.24	0.47	0.686	0.717
PDE11A	ENSG00000128655	OMIM	AD	Prost-AdenoCA	0.48	0.48	-0.43	0.695	0.717	-	-	-	-	-	0.48	0.48	-0.43	0.695	0.726
PER3	ENSG00000049246	OMIM	AD	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057
PKHD1	ENSG00000170927	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.95	0.08	2.29	0.053	0.102	0.95	0.08	2.29	0.053	0.101
PKHD1L1	ENSG00000205038	SOD	Not OMIM	Prost-AdenoCA	0.48	0.28	0.28	0.809	0.832	-	-	-	-	-	0.48	0.28	0.28	0.809	0.840
PMFBP1	ENSG00000118557	OMIM	AR	Prost-AdenoCA	0.48	0.16	0.96	0.429	0.512	-	-	-	-	-	0.48	0.16	0.96	0.429	0.524
PMM2	ENSG00000140650	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.12	1.28	0.307	0.465	0.48	0.16	0.96	0.429	0.524
POLQ	ENSG00000051341	SOD	Not OMIM	Prost-AdenoCA	0.48	0.16	0.96	0.429	0.512	-	-	-	-	-	0.48	0.16	0.96	0.429	0.524
PPA2	ENSG00000138777	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.869	0.00	0.20	-0.31	0.841	0.867
PRDM6	ENSG00000061455	OMIM	AD	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
PRSS12	ENSG00000164099	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
PRSS56	ENSG00000237412	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.36	-0.05	0.965	0.975	0.48	0.36	-0.05	0.965	0.975
PSKH2	ENSG00000147613	SOD	Not OMIM	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
PYGM	ENSG00000068976	OMIM	AR	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	0.00	0.20	-0.31	0.841	0.869	0.00	0.20	-0.31	0.841	0.867
RDH12	ENSG00000139988	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.869	0.00	0.20	-0.31	0.841	0.867
RDH5	ENSG00000135437	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
RGL3	ENSG00000205517	SOD	Not OMIM	Prost-AdenoCA	0.48	0.16	0.96	0.429	0.512	-	-	-	-	-	0.48	0.16	0.96	0.429	0.524
RNF213	ENSG00000173821	SOD	Not OMIM	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
RORA	ENSG00000069667	OMIM	AD	Prost-AdenoCA	0.00	0.20	-0.31	0.841	0.861	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.867
RORC	ENSG00000143365	OMIM	AR	Prost-AdenoCA	0.48	0.12	1.28	0.307	0.459	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
RP1L1	ENSG00000183638	OMIM	AD	Prost-AdenoCA	0.00	0.36	-1.06	0.486	0.529	-	-	-	-	-	0.00	0.36	-1.06	0.486	0.541
RPGRIP1	ENSG00000092200	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.16	-0.05	0.976	0.976
RPGRIP1L	ENSG00000103494	OMIM	AR	Prost-AdenoCA	0.95	0.04	2.88	0.029	0.057	-	-	-	-	-	0.95	0.04	2.88	0.029	0.057
RTN4R	ENSG00000040608	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.761	0.00	0.24	-0.54	0.728	0.757
RYR1	ENSG00000196218	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	1.43	0.12	2.30	0.025	0.049	1.43	0.12	2.30	0.025	0.049
SCN10A	ENSG00000185313	OMIM	AD	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
SCO2	ENSG00000130489	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
SERPINA1	ENSG00000197249	CPG	Not OMIM	Prost-AdenoCA	-	-	-	-	-	1.90	0.12	2.63	0.007	0.014	1.90	0.12	2.63	0.007	0.014
SERPIND1	ENSG00000099937	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.48	0.20	0.69	0.557	0.631	0.95	0.20	1.29	0.210	0.319
SETD2	ENSG00000181555	OMIM	AD	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
SGCA	ENSG00000108823	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.16	0.96	0.429	0.536	0.48	0.16	0.96	0.429	0.524
SGSH	ENSG00000181523	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.12	1.28	0.307	0.459
SHPK	ENSG00000197417	OMIM	AR	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
SI	ENSG00000090402	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
SIAE	ENSG00000110013	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.761	0.00	0.24	-0.54	0.728	0.757
SLC10A2	ENSG00000125255	OMIM	AR	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
SLC12A3	ENSG00000070915	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.08	1.70	0.199	0.306	0.48	0.08	1.70	0.199	0.303
SLC17A5	ENSG00000119899	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
SLC17A9	ENSG00000101194	OMIM	AD	Prost-AdenoCA	0.00	0.28	-0.73	0.634	0.687	-	-	-	-	-	0.00	0.28	-0.73	0.634	0.701
SLC26A2	ENSG00000155850	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.28	-0.73	0.634	0.714	0.00	0.28	-0.73	0.634	0.701
SLC2A9	ENSG00000109667	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.00	0.16	-0.05	0.976	0.976
SLC6A19	ENSG00000174358	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.48	0.16	0.96	0.429	0.536	0.48	0.20	0.69	0.557	0.618
SLC7A9	ENSG00000021488	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.48	0.20	0.69	0.557	0.631	0.48	0.20	0.69	0.557	0.618
SPG7	ENSG00000197912	OMIM	ADAR	Prost-AdenoCA	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976	0.95	0.16	1.55	0.143	0.223
SPTA1	ENSG00000163554	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.869	0.00	0.20	-0.31	0.841	0.867
SRD5A3	ENSG00000128039	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
SRGAP1	ENSG00000196935	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
SYNE1	ENSG00000131018	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.08	1.70	0.199	0.303
TBXAS1	ENSG00000059377	OMIM	ADAR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
TCHH	ENSG00000159450	OMIM	AR	Prost-AdenoCA	1.90	0.16	2.31	0.012	0.024	-	-	-	-	-	1.90	0.16	2.31	0.012	0.024
TCL1A	ENSG00000100721	SOD	Not OMIM	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
TET2	ENSG00000168769	OMIM	Other	Prost-AdenoCA	0.95	0.12	1.88	0.090	0.147	-	-	-	-	-	0.95	0.12	1.88	0.090	0.150
TEX15	ENSG00000133863	OMIM	AR	Prost-AdenoCA	0.00	0.20	-0.31	0.841	0.861	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.867
TF	ENSG00000091513	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.36	-1.06	0.486	0.553	0.00	0.36	-1.06	0.486	0.541
TGFBI	ENSG00000120708	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.48	0.16	0.96	0.429	0.536	0.48	0.16	0.96	0.429	0.524
TGM1	ENSG00000092295	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.761	0.00	0.24	-0.54	0.728	0.757
TGM5	ENSG00000104055	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	1.90	0.16	2.31	0.012	0.024	1.90	0.16	2.31	0.012	0.024
TMEM8C	ENSG00000187616	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.95	0.24	1.06	0.289	0.442	0.95	0.24	1.06	0.289	0.439
TMPRSS3	ENSG00000160183	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.869	0.00	0.20	-0.31	0.841	0.867
TMPRSS6	ENSG00000187045	OMIM	AR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	0.00	0.12	0.28	0.865	0.875	0.48	0.12	1.28	0.307	0.459
TNNI3K	ENSG00000116783	OMIM	AD	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
TPH2	ENSG00000139287	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	0.95	0.08	2.29	0.053	0.102	0.95	0.08	2.29	0.053	0.101
TPO	ENSG00000115705	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.20	-0.31	0.841	0.867
TREM2	ENSG00000095970	OMIM	Other	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
TRPM1	ENSG00000134160	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	-	-	-	-	-	0.00	0.12	0.28	0.865	0.874
TSPEAR	ENSG00000175894	OMIM	AR	Prost-AdenoCA	0.00	0.24	-0.54	0.728	0.749	-	-	-	-	-	0.00	0.24	-0.54	0.728	0.757
TUBB3	ENSG00000198211	OMIM	AD	Prost-AdenoCA	0.95	0.28	0.87	0.377	0.512	-	-	-	-	-	0.95	0.28	0.87	0.377	0.524
TYR	ENSG00000077498	OMIM	AD	Prost-AdenoCA	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.869	0.00	0.24	-0.54	0.728	0.757
UGT2B17	ENSG00000197888	OMIM	Other	Prost-AdenoCA	0.00	0.16	-0.05	0.976	0.976	-	-	-	-	-	0.00	0.16	-0.05	0.976	0.976
UNC80	ENSG00000144406	OMIM	AR	Prost-AdenoCA	-	-	-	-	-	0.00	0.12	0.28	0.865	0.875	0.00	0.12	0.28	0.865	0.874
USH2A	ENSG00000042781	OMIM	AR	Prost-AdenoCA	0.00	0.12	0.28	0.865	0.873	0.00	0.12	0.28	0.865	0.875	0.00	0.20	-0.31	0.841	0.867
USP45	ENSG00000123552	OMIM	AR	Prost-AdenoCA	2.38	0.56	0.98	0.168	0.258	-	-	-	-	-	2.38	0.56	0.98	0.168	0.261
VWF	ENSG00000110799	OMIM	ADAR	Prost-AdenoCA	0.48	0.08	1.70	0.199	0.300	-	-	-	-	-	0.48	0.12	1.28	0.307	0.459
XBP1	ENSG00000100219	OMIM	Other	Prost-AdenoCA	0.00	0.20	-0.31	0.841	0.861	-	-	-	-	-	0.00	0.20	-0.31	0.841	0.867
XIRP2	ENSG00000163092	SOD	Not OMIM	Prost-AdenoCA	0.95	0.08	2.29	0.053	0.102	-	-	-	-	-	0.95	0.08	2.29	0.053	0.101
ABCA3	ENSG00000167972	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.16	0.80	0.613	0.630	0.00	0.16	0.80	0.613	0.625
ABCA4	ENSG00000198691	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.36	-0.21	0.892	0.897	0.00	0.36	-0.21	0.892	0.895
ABCA7	ENSG00000064687	OMIM	AD	Skin-Melanoma	0.93	0.28	1.13	0.324	0.360	-	-	-	-	-	0.93	0.28	1.13	0.324	0.372
ABCB6	ENSG00000115657	OMIM	AD	Skin-Melanoma	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ABCC11	ENSG00000121270	OMIM	AD	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ABCC6	ENSG00000091262	OMIM	AR	Skin-Melanoma	0.93	0.16	1.82	0.135	0.225	0.93	0.24	1.33	0.255	0.298	1.87	0.28	1.73	0.079	0.134
ABCG2	ENSG00000118777	OMIM	AD	Skin-Melanoma	0.00	0.16	0.80	0.613	0.621	-	-	-	-	-	0.00	0.16	0.80	0.613	0.625
ACADVL	ENSG00000072778	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.93	0.08	2.56	0.054	0.089	0.93	0.08	2.56	0.054	0.091
ACSL3	ENSG00000123983	SOD	Not OMIM	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ACSM3	ENSG00000005187	OMIM	Other	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ADAM10	ENSG00000137845	OMIM	AD	Skin-Melanoma	-	-	-	-	-	0.00	0.24	0.31	0.840	0.846	0.00	0.24	0.31	0.840	0.843
ADAMTS13	ENSG00000160323	OMIM	AR	Skin-Melanoma	-	-	-	-	-	1.87	0.16	2.42	0.023	0.040	1.87	0.16	2.42	0.023	0.041
ADAMTSL4	ENSG00000143382	OMIM	AR	Skin-Melanoma	0.93	0.12	2.14	0.089	0.149	0.93	0.12	2.14	0.089	0.146	0.93	0.12	2.14	0.089	0.149
AGBL1	ENSG00000166748	OMIM	AD	Skin-Melanoma	0.00	0.16	0.80	0.613	0.621	-	-	-	-	-	0.00	0.16	0.80	0.613	0.625
AK7	ENSG00000140057	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.16	0.80	0.613	0.630	0.93	0.16	1.82	0.135	0.225
AKR1C3	ENSG00000196139	SOD	Not OMIM	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
ALDOB	ENSG00000136872	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.48	-0.59	0.695	0.712	0.00	0.48	-0.59	0.695	0.707
ALKBH8	ENSG00000137760	OMIM	AR	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ANO5	ENSG00000171714	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.93	0.12	2.14	0.089	0.146	0.93	0.12	2.14	0.089	0.149
ASB10	ENSG00000146926	OMIM	Other	Skin-Melanoma	-	-	-	-	-	0.00	0.28	0.12	0.938	0.938	0.00	0.28	0.12	0.938	0.939
ATM	ENSG00000149311	CPG	Not OMIM	Skin-Melanoma	0.93	0.12	2.14	0.089	0.149	-	-	-	-	-	0.93	0.12	2.14	0.089	0.149
ATP7B	ENSG00000123191	OMIM	AR	Skin-Melanoma	-	-	-	-	-	1.87	0.08	3.16	0.008	0.015	1.87	0.08	3.16	0.008	0.015
AURKC	ENSG00000105146	OMIM	AR	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
BBS1	ENSG00000174483	OMIM	AR	Skin-Melanoma	-	-	-	-	-	2.80	0.24	2.36	0.010	0.020	2.80	0.24	2.36	0.010	0.020
BCHE	ENSG00000114200	OMIM	Other	Skin-Melanoma	-	-	-	-	-	1.87	0.20	2.15	0.037	0.062	1.87	0.20	2.15	0.037	0.063
BLK	ENSG00000136573	OMIM	AD	Skin-Melanoma	-	-	-	-	-	0.93	0.08	2.56	0.054	0.089	0.93	0.08	2.56	0.054	0.091
C7	ENSG00000112936	OMIM	Other	Skin-Melanoma	-	-	-	-	-	2.80	0.20	2.58	0.006	0.012	2.80	0.20	2.58	0.006	0.012
C8B	ENSG00000021852	OMIM	AR	Skin-Melanoma	0.00	0.16	0.80	0.613	0.621	0.00	0.16	0.80	0.613	0.630	0.00	0.16	0.80	0.613	0.625
CAPN3	ENSG00000092529	OMIM	ADAR	Skin-Melanoma	-	-	-	-	-	0.00	0.12	1.13	0.487	0.507	0.00	0.12	1.13	0.487	0.503
CBS	ENSG00000160200	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.16	0.80	0.613	0.630	0.00	0.16	0.80	0.613	0.625
CCDC73	ENSG00000186714	SOD	Not OMIM	Skin-Melanoma	0.00	0.16	0.80	0.613	0.621	-	-	-	-	-	0.00	0.16	0.80	0.613	0.625
CCR5	ENSG00000160791	OMIM	Other	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
CCT5	ENSG00000150753	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.12	1.13	0.487	0.507	0.00	0.12	1.13	0.487	0.503
CENPJ	ENSG00000151849	OMIM	AR	Skin-Melanoma	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
CFHR5	ENSG00000134389	OMIM	AD	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
CFTR	ENSG00000001626	OMIM	ADAR	Skin-Melanoma	1.87	0.04	3.74	0.005	0.009	2.80	0.12	3.17	0.002	0.004	2.80	0.12	3.17	0.002	0.004
CLCN1	ENSG00000188037	OMIM	ADAR	Skin-Melanoma	-	-	-	-	-	0.93	0.12	2.14	0.089	0.146	0.93	0.16	1.82	0.135	0.225
CLCNKA	ENSG00000186510	OMIM	Other	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
CLTCL1	ENSG00000070371	SOD	Not OMIM	Skin-Melanoma	0.00	0.20	0.54	0.731	0.735	-	-	-	-	-	0.00	0.20	0.54	0.731	0.739
CNGA1	ENSG00000198515	OMIM	Other	Skin-Melanoma	-	-	-	-	-	0.00	0.16	0.80	0.613	0.630	0.00	0.16	0.80	0.613	0.625
CNGA3	ENSG00000144191	OMIM	AR	Skin-Melanoma	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
COASY	ENSG00000068120	OMIM	AR	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
CR2	ENSG00000117322	OMIM	AR	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
DDX41	ENSG00000183258	OMIM	AD	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
DMGDH	ENSG00000132837	OMIM	AR	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
DNAH1	ENSG00000114841	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.93	0.28	1.13	0.324	0.378	0.93	0.28	1.13	0.324	0.372
DNAH9	ENSG00000007174	OMIM	AR	Skin-Melanoma	0.00	0.16	0.80	0.613	0.621	-	-	-	-	-	0.00	0.16	0.80	0.613	0.625
DNASE1	ENSG00000213918	OMIM	AD	Skin-Melanoma	1.87	0.04	3.74	0.005	0.009	-	-	-	-	-	1.87	0.04	3.74	0.005	0.009
DYNC2H1	ENSG00000187240	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.93	0.08	2.56	0.054	0.089	1.87	0.08	3.16	0.008	0.015
DYSF	ENSG00000135636	OMIM	AR	Skin-Melanoma	-	-	-	-	-	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ECT2L	ENSG00000203734	SOD	Not OMIM	Skin-Melanoma	1.87	0.44	1.14	0.226	0.256	-	-	-	-	-	1.87	0.44	1.14	0.226	0.265
EIF2B5	ENSG00000145191	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.00	0.12	1.13	0.487	0.507	0.00	0.12	1.13	0.487	0.503
EPX	ENSG00000121053	OMIM	AR	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
ETFDH	ENSG00000171503	OMIM	AR	Skin-Melanoma	-	-	-	-	-	-	-	-	-	-	1.87	0.04	3.74	0.005	0.009
FAM83H	ENSG00000180921	OMIM	AD	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
FANCM	ENSG00000187790	CPG	Not OMIM	Skin-Melanoma	0.00	0.12	1.13	0.487	0.497	-	-	-	-	-	0.00	0.12	1.13	0.487	0.503
FDXR	ENSG00000161513	OMIM	AR	Skin-Melanoma	0.93	0.08	2.56	0.054	0.091	-	-	-	-	-	0.93	0.08	2.56	0.054	0.091
FGG	ENSG00000171557	OMIM	AR	Skin-Melanoma	-	-	-	-	-	1.87	0.76	0.39	0.666	0.683	1.87	0.76	0.39	0.666	0.678
FIG4	ENSG00000112367	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.93	0.16	1.82	0.135	0.219	0.93	0.16	1.82	0.135	0.225
FKBP14	ENSG00000106080	OMIM	AR	Skin-Melanoma	0.00	0.20	0.54	0.731	0.735	0.00	0.20	0.54	0.731	0.742	0.00	0.20	0.54	0.731	0.739
FKRP	ENSG00000181027	OMIM	AR	Skin-Melanoma	-	-	-	-	-	0.93	0.12	2.14	0.089	0.146	0.93	0.12	2.14	0.089	0.149
